pressure,water_melt,carbon_dioxide_melt,water_vapor,carbon_dioxide_vapor,mi_CO2,mi_S,mi_H2O,pressure
602.0318841,4.477887315,3291.097581,,,853.4355913,1576.995202,4.945847406,336.71875
599.0371981,4.477233292,3269.145438,26.32878897,73.67121103,1009.939571,2024.078447,4.268641196,375
596.0425121,4.476330718,3239.242492,26.45575236,73.54424764,1254.699086,1952.581393,4.441381807,410.546875
593.0478261,4.475417997,3209.456371,26.58378986,73.41621014,825.9242853,1568.685029,3.807205215,332.96875
590.0531401,4.474494951,3179.786714,26.71291527,73.28708473,1388.97562,2128.155704,3.175943972,431.640625
587.0584541,4.473561397,3150.233164,26.84314265,73.15685735,1357.42365,2048.484642,4.924310857,434.53125
584.0637681,4.47261715,3120.79537,26.97448637,73.02551363,859.0792901,1803.891113,4.879372195,375.15625
581.0690821,4.471662018,3091.472986,27.10696104,72.89303896,823.6156315,1372.698346,2.810218209,368.4375
578.0743961,4.470695808,3062.26567,27.24058159,72.75941841,1386.451773,1909.975026,3.97552982,322.96875
575.0797101,4.469718317,3033.173087,27.37536321,72.62463679,988.2051912,2003.309811,3.818465027,373.59375
572.0850242,4.468729342,3004.194907,27.51132142,72.48867858,1017.800406,1910.533013,3.732919306,405.3125
569.0903382,4.467728671,2975.330806,27.64847205,72.35152795,439.71744,1079.430395,1.956971042,264.6875
566.0956522,4.46671609,2946.580464,27.78683124,72.21316876,669.3161785,1709.312001,2.604616001,302.6171875
563.1009662,4.465691376,2917.943568,27.92641544,72.07358456,1208.277286,2075.580731,3.750012018,427.1875
560.1062802,4.464654303,2889.419811,28.06724149,71.93275851,0,1327.393212,1.65769668,
557.1115942,4.463604639,2861.008891,28.20932645,71.79067355,1425.700732,2186.917229,3.780836729,433.75
554.1169082,4.462542144,2832.710514,28.35268789,71.64731211,747.7013264,1422.159934,3.417726645,317.5
551.1222222,4.461466574,2804.524389,28.49734364,71.50265636,992.8807538,1742.004418,4.594025769,399.53125
548.1275362,4.460377677,2776.450234,28.64331191,71.35668809,370.2778351,1040.545601,2.447579591,224.1796875
545.1328502,4.459275195,2748.487773,28.79061132,71.20938868,1508.330209,1909.439734,3.390451514,471.328125
542.1381643,4.458158862,2720.636735,28.93926084,71.06073916,3409.356078,2677.496654,4.014863451,508.75
539.1434783,4.457028407,2692.896858,29.08927988,70.91072012,1232.914189,1906.781809,4.78337698,444.765625
536.1487923,4.45588355,2665.267884,29.2406882,70.7593118,2583.913117,2455.398175,4.173075872,535.3125
533.1541063,4.454724002,2637.749564,29.39350605,70.60649395,,,,
530.1594203,4.45354947,2610.341656,29.54775406,70.45224594,,,,
527.1647343,4.452359648,2583.043924,29.70345332,70.29654668,,,,
524.1700483,4.451154225,2555.85614,29.86062537,70.13937463,,,,
521.1753623,4.449932879,2528.778083,30.01929222,69.98070778,,,,
518.1806763,4.448695281,2501.809541,30.17947633,69.82052367,,,,
515.1859903,4.447441091,2474.950309,30.34120069,69.65879931,,,,
512.1913043,4.446169958,2448.200189,30.50448877,69.49551123,,,,
509.1966184,4.444881523,2421.558993,30.66936454,69.33063546,,,,
506.2019324,4.443575415,2395.02654,30.83585252,69.16414748,,,,
503.2072464,4.442251252,2368.602657,31.00397778,68.99602222,,,,
500.2125604,4.440908642,2342.287182,31.17376592,68.82623408,,,,
497.2178744,4.43954718,2316.079959,31.34524312,68.65475688,,,,
494.2231884,4.438166447,2289.980844,31.51843617,68.48156383,,,,
491.2285024,4.436766015,2263.989699,31.69337242,68.30662758,,,,
488.2338164,4.435345438,2238.1064,31.87007986,68.12992014,,,,
