,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S,d34s_melt,d34s_fluid,accd34s_fluid,alpha,SCSS_S6+,sulfide_frac,S_degassed,CO2_degassed,S_CO2_degassed
88,315.1183642,-8.089090449,3220.407793,2.477752682,1943.49657,0.005255412,1.010788943,0.123503457,0.242485274,0.634011268,0.097207221,0.026296236,1.777278961,1.898258718,10.05454688,0.995934913,0.002914031,0.001151056,22.35719985,31.18840079,23.4761617,2.801888869,0,23.9848595,0.787080971,0.975985531,772.3596299,581.4704446,147.2729227,-7.335532515,0.009762341,0.000240206,0.000719192,0.000194554,0.030647674,0.084072283,0.267152072,0,0,-2.690089131,-7.424521259,-9.289090449,1266.857972,5036.497236,2.574845609,0.123503457,0.242485274,0.634011268,0.097207221,0.026296236,0.995934913,0.002914031,0.001151056,5.133550762,1.229125905,-1.639125234,-1.639125234,-2.868251139,4945.97135,0,0.079883488,0.514125857,0.155377301
89,313.6296515,-8.090283023,3216.976576,2.477441171,1927.722345,0.005249973,1.010078666,0.123815241,0.243490157,0.632694602,0.097387846,0.026427395,1.770027644,1.891090842,10.08603034,0.995878227,0.002940692,0.001181081,22.34471853,31.31910924,23.55957079,2.819288746,0,24.06930826,0.78655782,0.976012376,771.3539791,577.6094195,146.7072311,-7.419569333,0.009751652,0.000239668,0.000727561,0.000197433,0.030649137,0.084064252,0.267180119,0,0,-2.720738268,-7.508585512,-9.290283023,1267.238912,5036.321554,2.575026122,0.123815241,0.243490157,0.632694602,0.097387846,0.026427395,0.995878227,0.002940692,0.001181081,5.109989669,1.232068283,-1.637796616,-1.637796616,-2.8698649,4945.910217,0,0.080863836,0.518069414,0.156086874
90,312.1409389,-8.091475598,3213.515497,2.477126081,1911.989332,0.005244485,1.009373503,0.124129367,0.244504169,0.631366464,0.097569809,0.026559558,1.762806269,1.883951389,10.11779963,0.995820897,0.002967415,0.001211688,22.33229903,31.45126921,23.64381273,2.836863571,0,24.15460258,0.786033247,0.976039211,770.351444,573.7674171,146.1423734,-7.503597732,0.009740868,0.000239129,0.000735994,0.000200345,0.030650582,0.084056166,0.267208187,0,0,-2.75138885,-7.592641677,-9.291475598,1267.619743,5036.143854,2.575212686,0.124129367,0.244504169,0.631366464,0.097569809,0.026559558,0.995820897,0.002967415,0.001211688,5.086358519,1.235038645,-1.636443919,-1.636443919,-2.871482564,4945.847043,0,0.081852715,0.522002667,0.156805167
91,310.6522263,-8.092668173,3210.023996,2.476807341,1896.297528,0.005238947,1.008673466,0.124445853,0.245527431,0.630026716,0.097753121,0.026692733,1.755614727,1.876840251,10.14985801,0.995762909,0.002994203,0.001242888,22.31994258,31.5849045,23.72889975,2.854615733,0,24.24075486,0.785507255,0.976066035,769.3519982,569.9442943,145.5783266,-7.587617648,0.009729985,0.000238587,0.000744492,0.000203293,0.030652009,0.084048021,0.267236277,0,0,-2.782040859,-7.676689698,-9.292668173,1268.00046,5035.964096,2.575405243,0.124445853,0.245527431,0.630026716,0.097753121,0.026692733,0.995762909,0.002994203,0.001242888,5.062657359,1.238037501,-1.635066625,-1.635066625,-2.873104126,4945.781787,0,0.082850287,0.525925618,0.157532328
92,309.1635137,-8.093860747,3206.501503,2.476484877,1880.646929,0.00523336,1.007978567,0.124764717,0.246560066,0.628675217,0.097937789,0.026826929,1.748452911,1.869757319,10.18220878,0.995704251,0.003021057,0.001274691,22.30765047,31.72003946,23.8148443,2.872547662,0,24.32777775,0.784979846,0.976092848,768.3556152,566.1399078,145.0150677,-7.671629017,0.009719003,0.000238045,0.000753058,0.000206276,0.030653417,0.084039817,0.267264388,0,0,-2.812694276,-7.760729515,-9.293860747,1268.381059,5035.78224,2.575603736,0.124764717,0.246560066,0.628675217,0.097937789,0.026826929,0.995704251,0.003021057,0.001274691,5.038886238,1.241065375,-1.633664206,-1.633664206,-2.874729581,4945.714407,0,0.083856714,0.529838268,0.158268511
93,307.674801,-8.095053322,3202.947431,2.476158616,1865.037534,0.00522772,1.00728882,0.125085976,0.2476022,0.627311825,0.098123822,0.026962154,1.741320712,1.862702486,10.2148553,0.995644909,0.00304798,0.00130711,22.29542398,31.85669894,23.90165909,2.890661826,0,24.41568416,0.784451023,0.97611965,767.3622675,562.3541147,144.4525731,-7.755631771,0.009707918,0.0002375,0.000761691,0.000209295,0.030654806,0.084031553,0.26729252,0,0,-2.843349082,-7.844761068,-9.295053322,1268.761532,5035.598241,2.5758081,0.125085976,0.2476022,0.627311825,0.098123822,0.026962154,0.995644909,0.00304798,0.00130711,5.015045212,1.244122802,-1.632236119,-1.632236119,-2.876358921,4945.644862,0,0.084872163,0.533740616,0.159013873
94,306.1860884,-8.096245896,3199.361184,2.475828478,1849.469342,0.005222028,1.006604236,0.125409647,0.248653959,0.625936394,0.098311229,0.027098418,1.734218024,1.855675644,10.24780096,0.99558487,0.003074974,0.001340156,22.28326446,31.99490837,23.98935709,2.908960738,0,24.50448726,0.783920787,0.976146441,766.3719267,558.5867717,143.8908191,-7.839625843,0.00969673,0.000236954,0.000770394,0.000212351,0.030656175,0.084023228,0.267320673,0,0,-2.874005257,-7.928784296,-9.296245896,1269.141875,5035.412059,2.576018271,0.125409647,0.248653959,0.625936394,0.098311229,0.027098418,0.99558487,0.003074974,0.001340156,4.99113434,1.247210328,-1.630781811,-1.630781811,-2.877992139,4945.57311,0,0.085896805,0.537632664,0.159768575
95,304.6973758,-8.097438471,3195.74215,2.475494387,1833.942356,0.005216283,1.00592483,0.125735747,0.249715475,0.624548778,0.098500019,0.027235728,1.727144741,1.848676686,10.28104917,0.995524118,0.003102041,0.001373841,22.27117328,32.13469372,24.07795152,2.927446952,0,24.59420048,0.783389141,0.97617322,765.3845639,554.8377359,143.3297813,-7.923611165,0.009685436,0.000236406,0.000779168,0.000215444,0.030657525,0.084014841,0.267348846,0,0,-2.904662782,-8.012799137,-9.297438471,1269.522082,5035.223646,2.576234181,0.125735747,0.249715475,0.624548778,0.098500019,0.027235728,0.995524118,0.003102041,0.001373841,4.967153687,1.250328513,-1.629300715,-1.629300715,-2.879629228,4945.499105,0,0.086930814,0.541514411,0.160532781
96,303.2086632,-8.098631046,3192.089705,2.475156261,1818.456578,0.005210483,1.005250613,0.126064293,0.250786879,0.623148827,0.0986902,0.027374094,1.720100755,1.841705507,10.31460343,0.995462641,0.003129183,0.001408176,22.25915186,32.27608157,24.16745588,2.946123067,0,24.68483754,0.782856089,0.976199988,764.4001493,551.1068642,142.7694351,-8.007587666,0.009674034,0.000235855,0.000788015,0.000218575,0.030658853,0.08400639,0.267377041,0,0,-2.935321635,-8.096805526,-9.298631046,1269.902147,5035.03296,2.576455758,0.126064293,0.250786879,0.623148827,0.0986902,0.027374094,0.995462641,0.003129183,0.001408176,4.943103321,1.253477929,-1.627792251,-1.627792251,-2.881270179,4945.422802,0,0.08797437,0.545385856,0.161306658
97,301.7199505,-8.09982362,3188.403209,2.474814016,1803.012014,0.005204628,1.004581599,0.126395304,0.251868305,0.621736391,0.098881781,0.027513523,1.713085961,1.834762001,10.34846725,0.995400422,0.003156403,0.001443175,22.24720165,32.4190991,24.25788393,2.964991724,0,24.77641241,0.782321634,0.976226745,763.4186521,547.3940135,142.2097557,-8.091555275,0.009662522,0.000235304,0.000796934,0.000221744,0.030660161,0.083997874,0.267405256,0,0,-2.965981796,-8.1808034,-9.29982362,1270.282064,5034.839951,2.576682928,0.126395304,0.251868305,0.621736391,0.098881781,0.027513523,0.995400422,0.003156403,0.001443175,4.918983318,1.256659159,-1.626255824,-1.626255824,-2.882914983,4945.344156,0,0.089027654,0.549246997,0.16209038
