,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ
0,244.11934448838065,-9.516141830155739,2300.0,3.67,500.0,0.003340335332247528,0.9304010032204197,0.0,0.6585703972277661,0.3414296027722339,0.0,0.0,1.3231801219202828,1.4754757532477414,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8967249947522988,1495.8035871073419,0.0,0.0,0.08234235323171735,0.0,0.0,0.0,0.0,0.027015430206953826,0.07641607817618108,0.2611914940550054,7.430933288277944,0.0,0.0,0.0,-10.766141830155739
1,243.30623631283422,-9.517020109436665,2300.0,3.67,500.0,0.003318055063405027,0.9302335492345385,0.2260728448941211,0.6585703972277661,0.11535675787811306,0.0723706715791912,0.15370217331492989,1.320134082335997,1.4723111302771177,27.050023252673757,1.0,0.0,0.0,117.60879675075546,117.60879675075546,67.67968554283115,11.000025440768589,8.513674124037825,74.29909756893167,0.32012102830432937,0.8967249947522988,1490.5530736231613,259.2480143710913,493.68654675646144,0.08234235323171735,0.006432145604023974,0.0007407843819420324,0.0,0.0,0.027015430206953826,0.07641607817618108,0.2611914940550054,7.430933288277944,0.0,0.0,0.0,-10.766844354597557
2,242.4931281372878,-9.51789847731806,2300.0,3.67,500.0,0.003318055063405027,0.9300682469743284,0.22516847307416776,0.6585703972277661,0.11474915535795349,0.0720975267621549,0.15307094631201287,1.3170957625593394,1.4691540364783011,27.008010390666605,1.0,0.0,0.0,117.42613213333307,117.42613213333307,67.86158420261333,11.01546804902786,8.528473291348968,74.5002113590748,0.32019370108890355,0.8967249947522988,1485.3077898142276,256.8544743820842,488.88820048915613,0.08234235323171735,0.006432145604023974,0.0007407843819420324,0.0,0.0,0.027015430206953826,0.07641607817618108,0.2611914940550054,7.430933288277944,0.0,0.0,0.0,-10.767546879039376
3,241.68001996174138,-9.51877693379993,2300.0,3.67,500.0,0.003318055063405027,0.9299051020636582,0.2257760719783573,0.6585703972277661,0.11413747651335537,0.07230891264336375,0.15346715933499355,1.3140651476281076,1.4660044565868167,27.08080832751718,1.0,0.0,0.0,117.74264490224861,117.74264490224861,68.04470319629453,11.030951602135877,8.543387289750573,74.70267914184194,0.3202682729385744,0.8967249947522988,1480.0677100649143,256.19335996869165,487.38605538877727,0.08234235323171735,0.006432145604023974,0.0007407843819420324,0.0,0.0,0.027015430206953826,0.07641607817618108,0.2611914940550054,7.430933288277944,0.0,0.0,0.0,-10.768249403481194
4,240.86691178619495,-9.519655478882276,2300.0,3.67,500.0,0.003318055063405027,0.9297441194569066,0.2263877604542529,0.6585703972277661,0.11352168063615642,0.07252213279660168,0.15386562765765124,1.3110422226462584,1.4628623753971481,27.154083267009153,1.0,0.0,0.0,118.06123159569198,118.06123159569198,68.22905471072295,11.046476232487985,8.558417256039641,74.90651445843106,0.32034476003068424,0.8967249947522988,1474.8328075771378,255.53546452639915,485.8871747667279,0.08234235323171735,0.006432145604023974,0.0007407843819420324,0.0,0.0,0.027015430206953826,0.07641607817618108,0.2611914940550054,7.430933288277944,0.0,0.0,0.0,-10.768951927923013
5,240.05380361064854,-9.520534112565096,2300.0,3.67,500.0,0.003318055063405027,0.9295853042374973,0.2270035794818029,0.6585703972277661,0.11290172647123486,0.07273720851649124,0.15426637096531165,1.3080269727841856,1.4597277777629185,27.22783979303302,1.0,0.0,0.0,118.38191214362182,118.38191214362182,68.4146510964918,11.062042073852119,8.57356434229237,75.11173103189071,0.3204231787116908,0.8967249947522988,1469.603055650704,254.88078379973163,484.3915455054412,0.08234235323171735,0.006432145604023974,0.0007407843819420324,0.0,0.0,0.027015430206953826,0.07641607817618108,0.2611914940550054,7.430933288277944,0.0,0.0,0.0,-10.769654452364831
6,239.2406954351021,-9.52141283484839,2300.0,3.67,500.0,0.003318055063405027,0.9294286616009152,0.2276235705933885,0.6585703972277661,0.11227757220732637,0.07295416141547008,0.1546694091779184,1.3050193832790447,1.4566006485970442,27.302082547951418,1.0,0.0,0.0,118.70470673022356,118.70470673022356,68.60150487068726,11.077649261166913,8.588829716122875,75.31834277018821,0.3205035455040397,0.8967249947522988,1464.3784276530935,254.229313611014,482.8991544729228,0.08234235323171735,0.006432145604023974,0.0007407843819420324,0.0,0.0,0.027015430206953826,0.07641607817618108,0.2611914940550054,7.430933288277944,0.0,0.0,0.0,-10.77035697680665
7,238.42758725955568,-9.522291645732158,2300.0,3.67,500.0,0.003318055063405027,0.9292741966545641,0.2282477758825749,0.6585703972277661,0.11164917546821174,0.07317301344022416,0.15507476244235074,1.302019439435023,1.4534809728719396,27.376816233119364,1.0,0.0,0.0,119.02963579617115,119.02963579617115,68.78962871952594,11.093297928151902,8.60421456094632,75.5263637693382,0.32058587715601217,0.8967249947522988,1459.158896702197,253.58104989782416,481.40998848722694,0.08234235323171735,0.006432145604023974,0.0007407843819420324,0.0,0.0,0.027015430206953826,0.07641607817618108,0.2611914940550054,7.430933288277944,0.0,0.0,0.0,-10.771059501248468
8,237.61447908400925,-9.5231705452164,2300.0,3.67,500.0,0.003318055063405027,0.9291219146716839,0.2288762380144156,0.6585703972277661,0.11101649330234986,0.07339378686452128,0.1554824511498943,1.2990271266236884,1.4503687356196857,27.452045610324827,1.0,0.0,0.0,119.35672004489057,119.35672004489057,68.97903550146033,11.108988210323213,8.619720076247061,75.73580831659915,0.3206701905852657,0.8967249947522988,1453.944436066015,252.93598866746268,479.92403435957846,0.08234235323171735,0.006432145604023974,0.0007407843819420324,0.0,0.0,0.027015430206953826,0.07641607817618108,0.2611914940550054,7.430933288277944,0.0,0.0,0.0,-10.771762025690286
9,236.80137090846284,-9.524049533301119,2300.0,3.67,500.0,0.003318055063405027,0.9289718207812586,0.22950900023426296,0.6585703972277661,0.11037948217399918,0.07361650431174571,0.15589249592251725,1.2960424302842748,1.4472639219322154,27.527775502120384,1.0,0.0,0.0,119.68598044400167,119.68598044400167,69.16973824983425,11.124720241284038,8.635347477853164,75.9466908937317,0.3207565029545872,0.8967249947522988,1448.7350186746323,252.29412605430002,478.44127884004087,0.08234235323171735,0.006432145604023974,0.0007407843819420324,0.0,0.0,0.027015430206953826,0.07641607817618108,0.2611914940550054,7.430933288277944,0.0,0.0,0.0,-10.772464550132105
