,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S,d34s_melt,d34s_fluid,accd34s_fluid,alpha,SCSS_S6+,sulfide_frac
0,162.355731,-7.453088066,1500,0.6,800,0.002539309,1.002925864,0,0.044582146,0.955417854,0,0,1.321753217,1.419810512,0,1,0,0,0,0,0,0,0,0,0,0.171766007,72.59344732,0,0,0.143494637,0,0,0,0,0.024712908,0.112498822,0.18010784,9.857839577,0,0,0,-7.953088066,1525.706827,7061.928281,0.681754473,0,0,0,0,0,0,0,0,0,1,0,0,0,2476.64148,0
1,161.8160797,-7.468058783,1470.602383,0.599738601,634.4998477,0.002489671,1.002810066,0.189716135,0.044687968,0.76051023,0.170099925,0.019616211,1.319885636,1.417996024,13.27395357,0.999771523,0.000228477,0,88.49302379,88.49302379,74.71173117,0.5139687,0,451.6332757,0.896602307,0.16447481,72.51552101,390.3020296,41.89605155,0.143494637,0.000754161,0.003831107,8.48E-05,9.78E-06,0.024575509,0.112604872,0.179147404,9.857839577,0,0,0,-7.953485626,1525.309464,7061.704685,0.692862259,0.189716135,0.044687968,0.76051023,0.170099925,0.019616211,0.999771523,0.000228477,0,4.008674479,0.982938966,1.853470474,1.853470474,0.870531509,2435.907018,0
2,161.2764285,-7.467951274,1471.714327,0.599738601,638.6739443,0.002491535,1.002694955,0.186801561,0.044834252,0.7685471,0.167494043,0.019307519,1.318020854,1.416183967,13.01915838,0.999780422,0.000219578,0,88.52942531,88.52942531,75.03061165,0.516110482,0,452.6919802,0.896641557,0.164790972,72.50194432,382.5515233,41.0411611,0.143494637,0.000756189,0.003832588,7.99E-05,9.21E-06,0.024581525,0.112600077,0.179189665,9.857839577,0,0,0,-7.953883186,1525.482192,7061.711117,0.692646801,0.186801561,0.044834252,0.7685471,0.167494043,0.019307519,0.999780422,0.000219578,0,4.114243448,0.975389868,2.280474528,2.280474528,1.30508466,2437.802739,0
3,160.7367772,-7.468826199,1471.021601,0.599738601,635.3668234,0.002490377,1.00258053,0.187401158,0.04497768,0.767464244,0.167981502,0.019419656,1.316158869,1.414374337,13.06380458,0.999775545,0.000224455,0,88.76589938,88.76589938,75.21513188,0.518222248,0,454.2737851,0.896373875,0.16461927,72.48223479,381.8924601,41.08327885,0.143494637,0.000755042,0.003831552,8.20E-05,9.48E-06,0.024578258,0.112602675,0.179166721,9.857839577,0,0,0,-7.954280745,1525.617745,7061.705305,0.693156368,0.187401158,0.04497768,0.767464244,0.167981502,0.019419656,0.999775545,0.000224455,0,4.095301512,0.970587381,2.493063796,2.493063796,1.522476415,2436.964439,0
4,160.1971259,-7.469639826,1470.438195,0.599733367,632.5323958,0.002489401,1.002466793,0.187798,0.045122195,0.766944291,0.16829048,0.01950752,1.31429968,1.412567132,13.09076216,0.999771521,0.000228479,0,88.99095807,88.99095807,75.40948105,0.520350223,0,455.8339281,0.896124987,0.164478141,72.46277026,380.8231727,41.07250373,0.143494637,0.000754092,0.003830664,8.36E-05,9.69E-06,0.02457557,0.11260481,0.179147849,9.857839577,0,0,0,-7.954678305,1525.755638,7061.700208,0.69361965,0.187798,0.045122195,0.766944291,0.16829048,0.01950752,0.999771521,0.000228479,0,4.083878907,0.96785183,2.599086942,2.599086942,1.631235111,2436.297509,0
5,159.6574746,-7.470459262,1469.844127,0.59972729,629.6686188,0.002488407,1.002353745,0.18820958,0.045267707,0.766384938,0.168611994,0.019597586,1.312443285,1.410762349,13.11898331,0.999767436,0.000232564,0,89.21818923,89.21818923,75.60437206,0.522493368,0,457.4076601,0.895873599,0.164334244,72.44339091,379.7795537,41.06505251,0.143494637,0.000753125,0.003829761,8.52E-05,9.91E-06,0.024572829,0.112606992,0.179128596,9.857839577,0,0,0,-7.955075865,1525.893328,7061.69501,0.694088652,0.18820958,0.045267707,0.766384938,0.168611994,0.019597586,0.999767436,0.000232564,0,4.071976242,0.966111209,2.651792346,2.651792346,1.685681137,2435.615115,0
6,159.1178234,-7.471279991,1469.247436,0.599721157,626.8094238,0.002487409,1.002241384,0.188622361,0.045414205,0.765824911,0.168934186,0.019688175,1.310589681,1.408959986,13.14727207,0.999763351,0.000236649,0,89.44670954,89.44670954,75.80044419,0.524651594,0,458.9927234,0.895621203,0.164189825,72.42406228,378.7346422,41.05736162,0.143494637,0.000752155,0.003828852,8.69E-05,1.01E-05,0.024570076,0.112609184,0.179109261,9.857839577,0,0,0,-7.955473425,1526.030987,7061.689764,0.694559441,0.188622361,0.045414205,0.765824911,0.168934186,0.019688175,0.999763351,0.000236649,0,4.060096098,0.964881168,2.677852131,2.677852131,1.712970963,2434.929834,0
7,158.5781721,-7.472102285,1468.647641,0.599714964,623.9530613,0.002486406,1.002129712,0.189037287,0.045561694,0.76526165,0.169257885,0.019779403,1.308738866,1.407160038,13.17571012,0.999759263,0.000240737,0,89.67659085,89.67659085,75.99767142,0.526824982,0,460.5893786,0.895367718,0.16404475,72.40477472,377.690281,41.04966174,0.143494637,0.00075118,0.003827937,8.86E-05,1.04E-05,0.024567309,0.112611389,0.179089826,9.857839577,0,0,0,-7.955870985,1526.168605,7061.684467,0.695032146,0.189037287,0.045561694,0.76526165,0.169257885,0.019779403,0.999759263,0.000240737,0,4.048204775,0.963909609,2.690592667,2.690592667,1.726683059,2434.240919,0
8,158.0385208,-7.472926143,1468.04474,0.599708712,621.0996536,0.002485397,1.002018729,0.189454323,0.045710182,0.764695276,0.169583054,0.019871269,1.306890839,1.405362504,13.20429396,0.999755171,0.000244829,0,89.90784165,89.90784165,76.19606604,0.529013689,0,462.1977442,0.89511314,0.16389902,72.38552812,376.6463558,41.04193904,0.143494637,0.000750202,0.003827017,9.02E-05,1.06E-05,0.024564529,0.112613608,0.179070291,9.857839577,0,0,0,-7.956268544,1526.306181,7061.679118,0.695506769,0.189454323,0.045710182,0.764695276,0.169583054,0.019871269,0.999755171,0.000244829,0,4.036304187,0.963068099,2.696674747,2.696674747,1.733606648,2433.548379,0
9,157.4988695,-7.473751582,1467.438699,0.599702398,618.2491968,0.002484383,1.001908437,0.189873484,0.045859681,0.764125755,0.169909704,0.01996378,1.305045598,1.403567381,13.23302491,0.999751076,0.000248924,0,90.14047431,90.14047431,76.39563795,0.53121787,0,463.8179496,0.894857461,0.163752629,72.3663224,375.6028604,41.03419392,0.143494637,0.000749219,0.003826092,9.19E-05,1.08E-05,0.024561735,0.112615841,0.179050654,9.857839577,0,0,0,-7.956666104,1526.443715,7061.673718,0.695983328,0.189873484,0.045859681,0.764125755,0.169909704,0.01996378,0.999751076,0.000248924,0,4.024394235,0.962291054,2.699427403,2.699427403,1.737136349,2432.852178,0
