,pressure,mean,std,variance
0,244.11934448838065,,,
1,243.30623631283422,,,
2,242.4931281372878,,,
3,241.68001996174138,,,
4,240.86691178619495,,,
5,240.05380361064854,,,
6,239.2406954351021,,,
7,238.42758725955568,,,
8,237.61447908400925,,,
9,236.80137090846284,,,
10,235.9882627329164,,,
11,235.17515455736998,,,
12,234.36204638182357,,,
13,233.54893820627714,,,
14,232.7358300307307,,,
15,231.9227218551843,,,
16,231.10961367963787,,,
17,230.29650550409144,,,
18,229.48339732854504,,,
19,228.6702891529986,,,
20,227.85718097745217,,,
21,227.04407280190574,,,
22,226.23096462635934,,,
23,225.4178564508129,,,
24,224.60474827526647,,,
25,223.79164009972007,,,
26,222.97853192417364,,,
27,222.1654237486272,,,
28,221.35231557308077,,,
29,220.53920739753437,,,
30,219.72609922198794,,,
31,218.9129910464415,,,
32,218.0998828708951,,,
33,217.28677469534867,,,
34,216.47366651980224,,,
35,215.66055834425583,,,
36,214.8474501687094,,,
37,214.03434199316297,,,
38,213.22123381761656,,,
39,212.40812564207013,,,
40,211.5950174665237,,,
41,210.7819092909773,,,
42,209.96880111543086,,,
43,209.15569293988443,,,
44,208.34258476433803,,,
45,207.5294765887916,,,
46,206.71636841324516,,,
47,205.90326023769873,,,
48,205.0901520621523,,,
49,204.2770438866059,,,
50,203.46393571105946,,,
51,202.65082753551303,,,
52,201.83771935996663,,,
53,201.0246111844202,,,
54,200.21150300887376,,,
55,199.39839483332736,,,
56,198.58528665778093,,,
57,197.7721784822345,,,
58,196.9590703066881,,,
59,196.14596213114166,,,
60,195.33285395559523,,,
61,194.51974578004882,,,
62,193.7066376045024,,,
63,192.89352942895596,,,
64,192.08042125340955,,,
65,191.26731307786312,,,
66,190.4542049023167,,,
67,189.6410967267703,,,
68,188.82798855122385,,,
69,188.01488037567742,,,
70,187.201772200131,,,
71,186.38866402458459,,,
72,185.57555584903815,,,
73,184.76244767349172,,,
74,183.9493394979453,,,
75,183.13623132239888,,,
76,182.32312314685245,,,
77,181.51001497130602,,,
78,180.69690679575962,,,
79,179.88379862021318,,,
80,179.07069044466675,,,
81,178.25758226912035,,,
82,177.44447409357392,,,
83,176.63136591802748,,,
84,175.81825774248108,,,
85,175.00514956693465,,,
86,174.19204139138822,,,
87,173.3789332158418,,,
88,172.56582504029538,,,
89,171.75271686474895,,,
90,170.93960868920254,,,
91,170.12650051365608,,,
92,169.31339233810968,,,
93,168.50028416256328,,,
94,167.68717598701681,,,
95,166.8740678114704,,,
96,166.06095963592398,,,
97,165.24785146037755,,,
98,164.43474328483114,,,
99,163.6216351092847,,,
100,162.80852693373828,,,
101,161.99541875819187,,,
102,161.18231058264544,,,
103,160.369202407099,,,
104,159.5560942315526,,,
105,158.74298605600617,,,
106,157.92987788045974,,,
107,157.11676970491334,,,
108,156.3036615293669,,,
109,155.49055335382047,,,
110,154.67744517827407,,,
111,153.86433700272764,,,
112,153.0512288271812,,,
113,152.2381206516348,,,
114,151.42501247608834,,,
115,150.61190430054194,,,
116,149.79879612499553,,,
117,148.98568794944907,,,
118,148.17257977390267,,,
119,147.35947159835627,,,
120,146.5463634228098,,,
121,145.7332552472634,,,
122,144.92014707171697,,,
123,144.10703889617054,,,
124,143.29393072062413,,,
125,142.4808225450777,,,
126,141.66771436953127,,,
127,140.85460619398486,,,
128,140.04149801843843,,,
129,139.228389842892,,,
130,138.4152816673456,,,
131,137.60217349179916,,,
132,136.78906531625273,,,
133,135.97595714070633,,,
134,135.1628489651599,,,
135,134.34974078961346,,,
136,133.53663261406706,,,
137,132.7235244385206,,,
