,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S,d34s_melt,d34s_fluid,accd34s_fluid,alpha
0,523.2275316706766,-7.922378811609987,3500.0,2.5,4500.0,0.005367224544999979,1.1562246414512531,0.0,0.17833882598651782,0.8216611740134822,0.0,0.0,3.144576121626707,3.239494203074705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8366913293722128,1078.89383677114,0.0,0.0,0.1326445668643702,0.0,0.0,0.0,0.0,0.033312788587028165,0.11838402491028308,0.21960110973338684,10.898505868900829,0.0,0.0,0.0,-9.122378811609988,834.0582780648638,4280.463300066084,2.968619399642955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
1,522.704781388724,-7.922797575263011,3318.9015178060745,2.4942644203892024,3528.2020765761094,0.005451212928133427,1.155751523471866,0.1789446162310727,0.17771967942933042,0.643335704339597,0.14850520332657455,0.03043941290449814,3.1400947128368686,3.235110510621332,13.643995403165045,0.9978595777217365,0.0014546453292766488,0.000685776948986828,26.493002121843116,38.982844009042985,33.340251508160705,1.2536944270620747,0.0,39.600778540223565,0.8298947822761459,0.8367404673171976,1073.634524606375,2511.2344710053976,499.61502696569596,0.015359333455775462,0.008642180344906021,0.0016862078261777145,0.0005136774146200744,0.0001052895021391989,0.03324551468632117,0.1181396414877967,0.21960881453980438,0.0,0.0,-0.03324551468632117,-0.1181396414877967,0.0,834.6176855018911,4278.632611137683,2.9555727883237943,0.1789446162310727,0.17771967942933042,0.643335704339597,0.14850520332657455,0.03043941290449814,0.9978595777217365,0.0014546453292766488,0.000685776948986828,3.595166582205816,0.849811594575969,-0.11287223857290452,-0.11287223857290452,-0.9626838331488735
2,522.1820311067713,-7.923216338916032,3298.8026752112405,2.4940325342734573,3495.4437353525814,0.005418611026647531,1.1552789271784658,0.1820582383429738,0.1779374363189112,0.6400043253381149,0.15117565131666033,0.03088258702631348,3.135619525837378,3.2307329112982535,13.867126666842665,0.9977732344012926,0.0015130285773920487,0.0007137370213153889,28.38995763294358,41.782278240088864,33.397748490685565,1.2472604781705545,0.0,39.65405235794301,0.8303697360394384,0.8371042318024894,1073.4358707545255,2550.3796087042897,505.66041559640354,-0.10278805272323435,0.008592835165964131,0.0016721173208506391,0.0005433427562498084,0.00011099558565720244,0.03325139313304521,0.11812117122574206,0.21966591683174416,0.0,0.0,-0.06649690781936637,-0.23626081271353877,0.0,834.7451697672175,4278.55790434198,2.956450939764704,0.1820582383429738,0.1779374363189112,0.6400043253381149,0.15117565131666033,0.03088258702631348,0.9977732344012926,0.0015130285773920487,0.0007137370213153889,3.5153823917181426,0.8830336429637873,-0.5614077812866591,-0.5614077812866591,-1.4444414242504464
3,521.6592808248188,-7.9236351025690555,3298.6994310941363,2.494028527324264,3494.376234882213,0.005418449601527649,1.154806852674093,0.181092583844251,0.178093570460475,0.640813845695274,0.15033977025563847,0.03075281358861254,3.1311505525044843,3.226361396565876,13.799956204641926,0.9977717425360156,0.0015120153128524271,0.0007162421511319378,28.386522315173963,41.83322727467547,33.420480442991334,1.249407635847549,0.0,39.67795580317531,0.8301818167492626,0.8371659701288396,1072.8636509743542,2530.310590625446,502.31453368283775,-0.22092487960259877,0.008593187104766198,0.0016714287675723644,0.0005402264828746979,0.0001105062505764624,0.03325281405677892,0.11811953272348591,0.21967561951754228,0.0,0.0,-0.0997497218761453,-0.3543803454370247,0.0,834.8350352229661,4278.5566129507515,2.9562998815313906,0.181092583844251,0.178093570460475,0.640813845695274,0.15033977025563847,0.03075281358861254,0.9977717425360156,0.0015120153128524271,0.0007162421511319378,3.5385979485852777,0.8969558501194064,-0.7888092585555402,-0.7888092585555402,-1.6857651086749466
4,521.1365305428661,-7.924053866222077,3297.292693706155,2.4939829541749563,3487.9547388540345,0.005416196695797497,1.1543352999768373,0.1812021920799542,0.17824053004483248,0.6405572778752132,0.15040558210635502,0.030796609973599183,3.1266877847246954,3.221995957896897,13.809274632796157,0.9977547750782517,0.0015221661955287257,0.0007230587262195739,28.381172925668135,41.86278538331635,33.441704805903704,1.2512357024147622,0.0,39.700688986404835,0.830042839879054,0.8372152619629757,1072.234949772299,2525.459820698337,501.8095789117495,-0.339039317069927,0.008589882191386447,0.0016701818347353305,0.0005441294137004974,0.0001114143577267494,0.0332534434026838,0.11811642875581077,0.21968336848342696,0.0,0.0,-0.1330031652788291,-0.4724967741928354,0.0,834.9274850395976,4278.54192414915,2.955992279200827,0.1812021920799542,0.17824053004483248,0.6405572778752132,0.15040558210635502,0.030796609973599183,0.9977547750782517,0.0015221661955287257,0.0007230587262195739,3.5350415495667504,0.9046413765501388,-0.9021253583132655,-0.9021253583132655,-1.8067667348634042
5,520.6137802609135,-7.9244726298751,3295.9572444058676,2.4939396480753775,3481.8309400829803,0.005414058097354196,1.1538642692310426,0.18124346160496885,0.17838880588660527,0.6403677325084258,0.15041598486513916,0.030827476739829697,3.1222312143947404,3.2176365867763472,13.813718374020432,0.9977386522063914,0.0015316785028823738,0.0007296692907262577,28.376142262513213,41.89412241257181,33.463234772400014,1.2529810317862071,0.0,39.72369631768279,0.8299112339455309,0.8372668275399113,1071.6130231627628,2519.687274029479,501.0934193505016,-0.4571520711960116,0.008586793264185051,0.0016689495668250915,0.0005476191336123642,0.00011223352437479804,0.033254154203259084,0.11811336645754755,0.21969147712855105,0.0,0.0,-0.1662573194820882,-0.590610140650383,0.0,835.0199064357529,4278.527964126303,2.95570237825575,0.18124346160496885,0.17838880588660527,0.6403677325084258,0.15041598486513916,0.030827476739829697,0.9977386522063914,0.0015316785028823738,0.0007296692907262577,3.533190807755296,0.9088774355265473,-0.9587263577731041,-0.9587263577731041,-1.8676037932996514
6,520.0910299789608,-7.924891393528122,3294.617119191637,2.493896138933063,3475.6957778686483,0.005411911906097904,1.1533937604055693,0.18128863728677563,0.1785373189311293,0.6401740437820951,0.1504294476302209,0.030859189656554726,3.1177808334215924,3.2132832747015168,13.818445406387925,0.9977224542663939,0.0015412234145509866,0.0007363223190550985,28.371095755813844,41.925438898946794,33.48479717559179,1.2547387392401008,0.0,39.74674289408135,0.8297786881825395,0.8373182728210327,1070.9913666232692,2513.976639902033,500.3909701762233,-0.5752616672500137,0.00858368994227072,0.001667716507216125,0.0005511322405135245,0.00011305960770165072,0.033254860029940936,0.11811029813093063,0.2196995691346454,0.0,0.0,-0.19951217951202913,-0.7087204387813136,0.0,835.1123471137464,4278.513936767169,2.9554122555508995,0.18128863728677563,0.1785373189311293,0.6401740437820951,0.1504294476302209,0.030859189656554726,0.9977224542663939,0.0015412234145509866,0.0007363223190550985,3.5312419650958096,0.9113972992448036,-0.9869622223582084,-0.9869622223582084,-1.898359521603012
7,519.5682796970082,-7.925310157181145,3293.276503776921,2.4938525627922363,3469.5662425588143,0.005409764839256931,1.1529237736610543,0.1813337229950553,0.1786861305576344,0.6399801464473104,0.150442808438649,0.030890914556406305,3.1133366337224357,3.2089360131819618,13.823169718487426,0.9977062319107843,0.0015507639743743216,0.0007430041148412484,28.36605145460374,41.95683206393058,33.50640700391602,1.2565000405042197,0.0,39.76984212284333,0.829646057852964,0.8373697326620867,1070.370343885731,2508.2748200543365,499.688640986212,-0.6933681850575906,0.008580584949564029,0.0016664834777666848,0.0005546448097836223,0.00011388703525278305,0.033255565715486074,0.11810722633047614,0.21970766570814726,0.0,0.0,-0.2327677452275152,-0.8268276651117897,0.0,835.2048046425942,4278.499885915046,2.9551229155053917,0.1813337229950553,0.1786861305576344,0.6399801464473104,0.150442808438649,0.030890914556406305,0.9977062319107843,0.0015507639743743216,0.0007430041148412484,3.52929469420733,0.9130526352851943,-1.0010221105830257,-1.0010221105830257,-1.91407474586822
8,519.0455294150556,-7.925728920834168,3291.935160942454,2.4938089117948263,3463.441395915164,0.005407616515970266,1.152454309056834,0.18137893947677,0.17883523827839806,0.6397858222448318,0.15045624170655114,0.030922697770218874,3.108898607224659,3.204594793739489,13.82790712706043,0.9976899822167404,0.0015603022435305928,0.0007497155397289826,28.361008372748813,41.98829679561307,33.528063578764296,1.2582654407361102,0.0,39.7929934277872,0.8295132948763366,0.8374211996221143,1069.7499344790094,2502.584709836721,498.9871811783041,-0.8114716163270811,0.008577477566497427,0.001665250430319477,0.0005581581798084546,0.00011471612281699578,0.033256270989296614,0.1181041509002174,0.2197157656812831,0.0,0.0,-0.2660240162168118,-0.9449318160120072,0.0,835.2972791855005,4278.485809027054,2.9548343032405517,0.18137893947677,0.17883523827839806,0.6397858222448318,0.15045624170655114,0.030922697770218874,0.9976899822167404,0.0015603022435305928,0.0007497155397289826,3.5273434947323197,0.9142733663964815,-1.0079965577259011,-1.0079965577259011,-1.9222699241223826
9,518.522779133103,-7.92614768448719,3290.593097868733,2.493765186041907,3457.3212884080476,0.005405466947618199,1.1519853666696336,0.18142427460472152,0.17898464314102727,0.6395910822542512,0.1504697377615433,0.030954536843178223,3.1044667458658655,3.2002596079081393,13.832656777918569,0.9976737052245844,0.0015698381261813822,0.0007564566492342015,28.35596657104967,42.01983362867449,33.54976708664951,1.2600349255589547,0.0,39.816197005970565,0.8293804017647557,0.8374726741149192,1069.130139158595,2496.9061224327284,498.2865475541172,-0.9295719576418335,0.008574367816279897,0.0016640173648744551,0.0005616722894580953,0.00011554685903271658,0.03325697586271954,0.1181010718344179,0.2197238691216847,0.0,0.0,-0.29928099207953135,-1.063032887846425,0.0,835.3897707614626,4278.471706126183,2.954546422430349,0.18142427460472152,0.17898464314102727,0.6395910822542512,0.1504697377615433,0.030954536843178223,0.9976737052245844,0.0015698381261813822,0.0007564566492342015,3.5253886705500763,0.9152758241870202,-1.0114294589161013,-1.0114294589161013,-1.9267052831031215
