,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S,d34s_melt,d34s_fluid,accd34s_fluid,alpha,SCSS_S6+
305,363.7886956751247,-8.050101725781861,2829.3230823239373,2.475360675146241,1849.5456760180484,0.004661520014134673,1.036753226157939,0.20021278995003336,0.24153729033954285,0.5582499197104238,0.15691087998180467,0.043301909968228684,2.0315561951656114,2.148972920914603,15.877118568855582,0.9908694286822337,0.0043898531841102635,0.004740718133656088,26.961684270855688,56.07831760142158,42.921465959889154,2.0428628031070253,0.0,49.961706405982554,0.7837205606143571,0.8530799176950312,910.9798797830068,1226.685412428377,320.02587401749713,-35.72903512793329,0.007458602220164617,0.0012845437213285264,0.0017035374290811512,0.000470116695477928,0.03342429114354148,0.11693654336363644,0.22229386564056258,0.0,0.0,-10.170976316707803,-35.863416029489535,0.0,863.6883434385524,4272.368390294347,2.9036619342648096,0.20021278995003336,0.24153729033954285,0.5582499197104238,0.15691087998180467,0.043301909968228684,0.9908694286822337,0.0043898531841102635,0.004740718133656088,2.788283005544975,1.2120088761327499,-0.9381039851557404,-0.9381039851557404,-2.1501128612884903,3771.5648372589885
306,363.26594539317205,-8.050520489434884,2827.402236846682,2.475268518175861,1844.7932139822638,0.004658403056074908,1.0364467350712239,0.2002932888640099,0.24183539324997322,0.5578713178860168,0.15693843852096623,0.04335485034304366,2.0286402539027537,2.1461038359988547,15.88653862102658,0.9908355911301832,0.004399849422886936,0.004764559446929929,26.95752998860498,56.14960949591435,42.96737721959362,2.0467599943889763,0.0,50.01180157466714,0.7835431701734168,0.8531341968445205,910.5242894519735,1223.5021718123512,319.4974651086057,-35.84595988739238,0.007453758226176327,0.0012831535677072998,0.0017080429289998535,0.00047185346218663705,0.033424590921466435,0.11693126102532785,0.22230322590499663,0.0,0.0,-10.20440090762927,-35.980347290514864,0.0,863.7879239954873,4272.336999306158,2.9036093325080095,0.2002932888640099,0.24183539324997322,0.5578713178860168,0.15693843852096623,0.04335485034304366,0.9908355911301832,0.004399849422886936,0.004764559446929929,2.7852721429163125,1.2133456362257502,-0.9375829068719308,-0.9375829068719308,-2.150928543097681,3771.737701765789
307,362.7431951112194,-8.050939253087906,2825.477619585089,2.475176037864573,1840.0453198682424,0.004655279846032951,1.0361408307530118,0.20037387511694035,0.24213431373803035,0.5574918111450292,0.1569660040920644,0.043407871024875935,2.0257284860337976,2.1432387387399148,15.895977823431245,0.9908016371792377,0.00440985336695889,0.004788509453803328,26.95338184508665,56.2211404386507,43.0134259970566,2.0506691701598507,0.0,50.062049188127695,0.7833656159040562,0.8531884901364383,910.0691682502729,1220.3247711458,318.9693807819144,-35.9628793183905,0.007448903206001605,0.0012817621652698806,0.0017125555126219177,0.00047359547212039117,0.033424887584085364,0.11692596443091786,0.22231259175538268,0.0,0.0,-10.237825795213354,-36.09727325494578,0.0,863.8875399892792,4272.305489967476,2.9035575015157833,0.20037387511694035,0.24213431373803035,0.5574918111450292,0.1569660040920644,0.043407871024875935,0.9908016371792377,0.00440985336695889,0.004788509453803328,2.782257970604556,1.2146857145660777,-0.9370590505053045,-0.9370590505053045,-2.151744765071382,3771.9105044851112
308,362.2204448292668,-8.051358016740929,2823.5492123764484,2.4750832323050154,1835.3019944158789,0.004652150354109887,1.035835513894116,0.20045454808537758,0.24243405506736226,0.5571113968472601,0.15699357612812515,0.043460971957252424,2.0228208861293626,2.1403776236744134,15.905436190606524,0.9907675661533547,0.004419865081792336,0.0048125687648528995,26.949239878350436,56.2929116137971,43.059612894420766,2.054590380684149,0.0,50.11244991076658,0.7831878978433479,0.8532427976337358,909.614515570526,1217.153196329284,318.4416190820547,-36.07979340647403,0.007444037107772255,0.0012803695071051354,0.0017170752167581205,0.00047534274767468466,0.033425181110538625,0.11692065349934133,0.22232196320750008,0.0,0.0,-10.271250976323893,-36.214193908445125,0.0,863.9871915488864,4272.27386154338,2.903506440826766,0.20045454808537758,0.24243405506736226,0.5571113968472601,0.15699357612812515,0.043460971957252424,0.9907675661533547,0.004419865081792336,0.0048125687648528995,2.7792404920140563,1.216029125919389,-0.9365324016284062,-0.9365324016284062,-2.152561527547795,3772.0832449927575
309,361.6976945473142,-8.05177678039395,2821.6169969748607,2.4749900995757175,1830.5632383823606,0.0046490145502691305,1.035530784795069,0.20053530713732662,0.2427346205184918,0.5567300723441817,0.15702115403765024,0.04351415309967639,2.0199174487677913,2.137520485347204,15.914913737003117,0.9907333773715876,0.004429884633167262,0.004836737995245095,26.945104126670408,56.36492421397636,43.105938517263546,2.0585236757063115,0.0,50.16300441088672,0.783010015937603,0.8532971193998959,909.1603304554271,1213.9874331379715,317.9141781851749,-36.19670213710614,0.0074391598793806975,0.001278975586273383,0.0017216020781754356,0.00047709531155581877,0.033425471479812445,0.11691532814893864,0.22233134027724158,0.0,0.0,-10.304676447803706,-36.33110923659407,0.0,864.0868788040533,4272.242113293184,2.9034561488599224,0.20053530713732662,0.2427346205184918,0.5567300723441817,0.15702115403765024,0.04351415309967639,0.9907333773715876,0.004429884633167262,0.004836737995245095,2.776219710591576,1.2173758851419145,-0.9360029458170414,-0.9360029458170414,-2.153378830958956,3772.2559228613054
310,361.17494426536155,-8.052195544046974,2819.680955047449,2.474896637740897,1825.8290525390764,0.004645872404330217,1.0352266438104456,0.20061615163320046,0.24303601338890393,0.5563478349778956,0.15704873723676435,0.04356741439643612,2.017018168535158,2.134667318311411,15.92441047668756,0.9906990701480117,0.004439912087298012,0.004861017764690233,26.9409746286176,56.43717943916766,43.152403474750756,2.062469105329192,0.0,50.21371336071945,0.7828319701990234,0.8533514554989257,908.7066119879905,1210.8274674718805,317.38705616996947,-36.31360549566817,0.007434271468469533,0.0012775803958048023,0.0017261361339544429,0.00047885318644288127,0.03342575867073632,0.11690998829744702,0.22234072298061258,0.0,0.0,-10.338102206474442,-36.44801922489151,0.0,864.1866018853515,4272.210244470372,2.9034066241587633,0.20061615163320046,0.24303601338890393,0.5563478349778956,0.15704873723676435,0.04356741439643612,0.9906990701480117,0.004439912087298012,0.004861017764690233,2.773195629807028,1.2187260071565065,-0.9354706685370091,-0.9354706685370091,-2.1541966756935156,3772.4285376600296
311,360.6521939834089,-8.052614307699995,2817.7410681742576,2.474802844850349,1821.0994376723597,0.004642723885968632,1.034923091348772,0.20069708092551294,0.24333823699315685,0.5559646820813302,0.1570763251344221,0.043620755791090836,2.014123040025264,2.1318181171284025,15.933926423493217,0.9906646437916886,0.004449947510785488,0.004885408697525894,26.936851423071168,56.50967849738547,43.19900837966446,2.066426720016284,0.0,50.26457743645433,0.7826537606330193,0.8534058059953709,908.2533592913812,1207.673285241032,316.8602511244425,-36.43050346745809,0.007429371822431343,0.0012761839286993708,0.001730677421328502,0.0004806163951462446,0.03342604266198207,0.11690463386199598,0.22235011133373397,0.0,0.0,-10.371528249136425,-36.56492385875351,0.0,864.2863609241961,4272.178254322507,2.9033578653910563,0.20069708092551294,0.24333823699315685,0.5559646820813302,0.1570763251344221,0.043620755791090836,0.9906646437916886,0.004449947510785488,0.004885408697525894,2.7701682531579612,1.220079506959102,-0.9349355551703957,-0.9349355551703957,-2.1550150621294977,3772.6010889548725
312,360.1294437014563,-8.053033071353019,2815.797317847721,2.4747087189393095,1816.374394583511,0.004639568964714925,1.0346201278724325,0.2007780943588252,0.24364129466298418,0.5555806109781906,0.157103917132368,0.04367417722645722,2.0112320578396172,2.1289728763677687,15.943461591018282,0.9906300976066208,0.004459990970620411,0.004909911422758766,26.93273454922113,56.58242260474549,43.24575384842986,2.070396570594303,0.0,50.31559731826899,0.7824753872381919,0.8534601709543121,907.8005715287094,1204.5248723656189,316.33376114581864,-36.54739603768986,0.007424460888407086,0.0012747861779267638,0.001735225977684705,0.00048238496060860154,0.03342632343206219,0.11689926475910202,0.22235950535284127,0.0,0.0,-10.404954572568487,-36.681823123512615,0.0,864.3861560528157,4272.14614209124,2.9033098713485384,0.2007780943588252,0.24364129466298418,0.5555806109781906,0.157103917132368,0.04367417722645722,0.9906300976066208,0.004459990970620411,0.004909911422758766,2.767137584169276,1.2214363996223576,-0.93439759102833,-0.93439759102833,-2.1558339906506876,3772.773576308434
313,359.6066934195037,-8.053451835006042,2813.8496854734967,2.474614258028349,1811.653924089848,0.004636407609956064,1.0343177536829513,0.20085919126936502,0.24394518974740712,0.5551956189832279,0.15713151262484581,0.0437276786445192,2.008345216587443,2.126131590607325,15.953015992599672,0.9905954308917136,0.004470042534181868,0.004934526574104579,26.92862404652619,56.65541298545415,43.29264050107867,2.07437870782512,0.0,50.36677369035739,0.7822968500063431,0.8535145504413794,907.3482477145781,1201.3822147742785,315.80758433990616,-36.66428319149284,0.007419538613288333,0.0012733871364267188,0.0017397818405604198,0.0004841589059047016,0.03342660095932889,0.1168938809046635,0.22236890505428764,0.0,0.0,-10.438381173527816,-36.79871700441728,0.0,864.4859874043045,4272.1139070121735,2.9032626403441464,0.20085919126936502,0.24394518974740712,0.5551956189832279,0.15713151262484581,0.0437276786445192,0.9905954308917136,0.004470042534181868,0.004934526574104579,2.764103626399028,1.2227967002969011,-0.9338567613579576,-0.9338567613579576,-2.1566534616548587,3772.9459992799075
314,359.08394313755105,-8.053870598659064,2811.8981523692037,2.474519460123218,1806.9380270240492,0.0046332397909333595,1.034015969031152,0.20094037098518672,0.24424992561283876,0.5548097034019746,0.1571591110058327,0.043781259979354004,2.005462510885672,2.1232942544331066,15.962589641242602,0.9905606429407235,0.004480102269267467,0.0049592547900090475,26.924519954739157,56.7286508716137,43.33966896130836,2.0783731826252247,0.0,50.41810724096003,0.7821181489578242,0.8535689445227471,906.8963868117705,1198.2452984597642,315.281718770176,-36.78116491391164,0.007414604943713705,0.0012719867971085974,0.0017443450477260805,0.0004859382541643408,0.033426875221972144,0.1168884822139546,0.22237831045454318,0.0,0.0,-10.471808048749788,-36.91560548663123,0.0,864.5858551125817,4272.081548314868,2.9032161705204493,0.20094037098518672,0.24424992561283876,0.5548097034019746,0.1571591110058327,0.043781259979354004,0.9905606429407235,0.004480102269267467,0.0049592547900090475,2.7610663834340934,1.2241604242033994,-0.9333130513051926,-0.9333130513051926,-2.157473475508592,3773.118357425064
